,car_age,car_age_category,car_brand,car_city,car_country,car_fuel,car_id,car_mileage,car_model,car_price
3811,1,New,Jetour,Blagoveshchensk,CN,gasoline,3811,10.0k,Traveller,4200.0k
3829,16,Old,Toyota,Blagoveshchensk,JP,hybrid,3829,210.0k,Harrier,1370.0k
3834,26,Old,Toyota,Blagoveshchensk,JP,diesel,3834,234.0k,Hilux Surf,990.0k
3837,24,Old,Isuzu,Blagoveshchensk,JP,gasoline,3837,127.0k,Bighorn,1295.0k
3851,14,Old,Toyota,Blagoveshchensk,JP,gasoline,3851,175.0k,Vitz,730.0k
3880,10,Old,Honda,Blagoveshchensk,JP,gasoline,3880,130.0k,Vamos Hobio,590.0k
3883,7,Middle,Toyota,Blagoveshchensk,JP,hybrid,3883,136.0k,Prius,1650.0k
3886,38,Old,Nissan,Blagoveshchensk,JP,diesel,3886,320,Terrano Regulus,730.0k
3892,14,Old,Toyota,Blagoveshchensk,JP,gasoline,3892,150.0k,Corolla Fielder,990.0k
3895,13,Old,Toyota,Blagoveshchensk,JP,hybrid,3895,200.0k,Sai,1100.0k
3914,12,Old,Subaru,Blagoveshchensk,JP,gasoline,3914,240.0k,Outback,1660.0k
3922,15,Old,Nissan,Blagoveshchensk,JP,gasoline,3922,250.0k,AD,430.0k
3935,7,Middle,Toyota,Blagoveshchensk,JP,gasoline,3935,63.0k,Harrier,2780.0k
3936,21,Old,Toyota,Blagoveshchensk,JP,gasoline,3936,333.0k,Corolla,600.0k
3943,9,Middle,Suzuki,Blagoveshchensk,JP,gasoline,3943,160.0k,Hustler,695.0k
3957,7,Middle,Toyota,Blagoveshchensk,JP,gasoline,3957,70.0k,Harrier,3250.0k
3961,8,Middle,Toyota,Blagoveshchensk,JP,hybrid,3961,130.0k,Aqua,1050.0k
3963,22,Old,Toyota,Blagoveshchensk,JP,gasoline,3963,311.1k,Windom,719.0k
3974,23,Old,Nissan,Blagoveshchensk,JP,gasoline,3974,155.7k,X-Trail,710.0k
3977,27,Old,Subaru,Blagoveshchensk,JP,gasoline,3977,132.1k,Forester,510.0k
3982,24,Old,Mitsubishi,Blagoveshchensk,JP,gasoline,3982,247.5k,Pajero,1100.0k
3984,15,Old,Toyota,Blagoveshchensk,JP,gasoline,3984,220.0k,Vitz,550.0k
3992,20,Old,Nissan,Blagoveshchensk,JP,gasoline,3992,100.0k,Tiida,625.0k
4013,15,Old,Honda,Blagoveshchensk,JP,gasoline,4013,129.0k,Stream,1195.0k
4028,13,Old,Toyota,Blagoveshchensk,JP,hybrid,4028,216.0k,Prius Alpha,1145.0k
4034,16,Old,Honda,Blagoveshchensk,JP,gasoline,4034,146.0k,Freed,1010.0k
4060,7,Middle,Toyota,Blagoveshchensk,JP,hybrid,4060,106.0k,Vellfire,4200.0k
